id,scientific_name,latitude,longitude,year,month,day
22780465,Physcomitrium pyriforme,39.55217841,-76.86508126,2019,4,20
22780499,Physcomitrium pyriforme,39.42275754,-76.95577054,2019,4,20
22827156,Physcomitrium pyriforme,38.11814167,-97.85741333,2019,4,16
22840383,Physcomitrium pyriforme,41.46649401,-90.57930017,2019,4,21
22858147,Physcomitrium pyriforme,41.14926859,-83.67476023,2019,4,21
22913159,Physcomitrium pyriforme,39.50896789,-76.9102245,2019,4,22
22922041,Physcomitrium pyriforme,42.34210496,-81.84624022,2019,4,22
22953756,Physcomitrium pyriforme,38.04079201,-97.92324993,2019,4,16
22992660,Physcomitrium pyriforme,39.66430072,-75.7465486,2019,4,24
23047619,Physcomitrium pyriforme,38.11326695,-97.85554815,2019,4,16
23066481,Physcomitrium pyriforme,40.69424428,-74.00002275,2019,4,25
23085301,Physcomitrium,42.13938408,-87.78721639,2019,4,25
23164554,Physcomitrium pyriforme,35.78245253,-78.64073876,2019,4,26
23216695,Physcomitrium pyriforme,38.78345833,-77.0709445,2019,4,26
23247898,Physcomitrium pyriforme,35.77367706,-78.90784257,2019,4,26
23258121,Physcomitrium pyriforme,41.23190353,-95.96414815,2019,4,26
23261941,Physcomitrium pyriforme,35.85880465,-77.04154767,2019,4,21
23261945,Physcomitrium pyriforme,36.43184833,-76.69745,2019,4,21
23261947,Physcomitrium pyriforme,36.43695333,-76.69889833,2019,4,21
23309558,Physcomitrium pyriforme,38.6271286,-89.36069489,2019,4,26
23328871,Physcomitrium pyriforme,35.92855453,-78.96611786,2019,4,26
23374459,Physcomitrium pyriforme,40.97329587,-72.19767208,2019,4,27
23472222,Physcomitrium pyriforme,42.31756,-71.00902833,2019,4,27
23490547,Physcomitrium pyriforme,38.66441496,-90.54159408,2019,4,27
23658178,Physcomitrium pyriforme,39.52060833,-76.11258617,2019,4,28
23658250,Physcomitrium pyriforme,39.52264667,-76.11189167,2019,4,28
23658521,Physcomitrium pyriforme,39.520625,-76.1126555,2019,4,28
23661064,Physcomitrium pyriforme,38.58265333,-89.93816796,2019,4,27
23701119,Physcomitrium pyriforme,45.05777738,-93.207165,2019,4,28
23741888,Physcomitrium pyriforme,38.60843061,-90.26524549,2019,4,28
23754921,Physcomitrium pyriforme,42.12690086,-90.15642871,2019,4,28
23755898,Physcomitrium pyriforme,42.12723498,-90.15643353,2019,4,28
23808931,Physcomitrium pyriforme,38.968751,-77.385737,2019,4,28
23818436,Physcomitrium pyriforme,40.05228571,-74.97973698,2019,4,27
23960653,Physcomitrium pyriforme,42.36413746,-71.14303513,2019,4,29
24034816,Physcomitrium pyriforme,38.65446469,-90.34191654,2019,4,29
24054971,Physcomitrium pyriforme,43.08203769,-77.6732954,2019,4,29
24078255,Physcomitrium pyriforme,40.59072597,-74.08312997,2019,4,29
24245738,Physcomitrium pyriforme,42.4875,-78.60858833,2019,4,30
24303571,Physcomitrium pyriforme,41.50288833,-90.55121667,2019,5,1
24317984,Physcomitrium,41.48880187,-90.49076138,2019,5,1
24385512,Physcomitrium pyriforme,41.29523719,-82.21957902,2019,5,2
24408520,Physcomitrium pyriforme,41.82883887,-87.88281776,2019,5,2
24414627,Physcomitrium pyriforme,39.21202076,-94.50724742,2019,5,2
24444192,Physcomitrium pyriforme,41.43710833,-72.15132217,2019,4,23
24463030,Physcomitrium pyriforme,38.34922571,-98.19178106,2019,5,3
24521262,Physcomitrium pyriforme,41.51249732,-90.571477,2019,5,4
24563180,Physcomitrium pyriforme,39.44148848,-76.89029358,2019,5,4
24620942,Physcomitrium pyriforme,42.1435209,-90.16716332,2019,5,5
24620951,Physcomitrium pyriforme,42.14511578,-90.16693989,2019,5,5
24621004,Physcomitrium pyriforme,42.07149441,-90.17206731,2019,5,5
24672187,Physcomitrium pyriforme,42.76425333,-71.85575833,2019,5,6
24694236,Physcomitrium pyriforme,41.50045,-90.55332167,2019,5,6
24756248,Physcomitrium pyriforme,45.94580683,-66.64156956,2006,5,13
24790846,Physcomitrium pyriforme,45.51139714,-73.67093446,2019,5,8
24843609,Physcomitrium,39.21258513,-94.50987534,2019,5,9
24970635,Physcomitrium pyriforme,40.39220833,-74.70558,2019,5,11
25022467,Physcomitrium pyriforme,35.90602667,-78.54091833,2019,5,10
25079164,Physcomitrium pyriforme,47.282685,8.567511667,2017,3,20
25081741,Physcomitrium pyriforme,38.86257921,-77.39341468,2019,5,13
25094242,Physcomitrium pyriforme,40.2932668,-74.7248707,2019,5,12
25112113,Physcomitrium pyriforme,40.73588,-73.816385,2019,5,7
25120467,Physcomitrium pyriforme,42.46345,-76.45995333,2019,5,14
